Zone B Data, Big Bean Field
8
X m                              meters east of origin
Y m                              meters north of origin
Thk m                            zone thickness
Por %                            porosity in percent
Perm md                          permeability in milliDarcies
LogPerm -                        base 10 log of permeability
LogPermPrd -                     LogPerm predicted from regression vs. Por
LogPermRsd -                     residual from regression vs. Por
12100 8300 39.8475 14.3943 0.8475 -0.0719 0.2147 -0.2866
5300 8700 36.8932 15.5491 -999.9999 -999.9999 -999.9999 -999.9999
3500 13900 28.3332 13.9709 -999.9999 -999.9999 -999.9999 -999.9999
5100 1900 36.0994 12.4831 0.6194 -0.208 -0.2116 0.0036
9900 13700 37.8365 17.0513 -999.9999 -999.9999 -999.9999 -999.9999
2900 900 33.213 15.3488 6.2776 0.7978 0.4276 0.3701
7900 6700 31.2461 14.9281 -999.9999 -999.9999 -999.9999 -999.9999
16900 4900 41.4854 12.3598 -999.9999 -999.9999 -999.9999 -999.9999
18700 1500 41.6986 13.4467 0.946 -0.0241 0.0033 -0.0275
2700 2100 32.166 15.3105 -999.9999 -999.9999 -999.9999 -999.9999
10700 5100 37.616 15.5989 2.5695 0.4098 0.4834 -0.0736
7500 12900 31.8502 14.7343 3.6417 0.5613 0.2906 0.2707
5500 11100 32.5953 12.2241 0.422 -0.3747 -0.2694 -0.1053
9500 9100 36.7878 16.2102 1.5122 0.1796 0.6198 -0.4402
15300 3100 37.9197 14.0132 1.0504 0.0214 0.1297 -0.1083
4700 9700 35.716 11.7776 0.4079 -0.3894 -0.369 -0.0204
16700 15700 36.7353 16.3497 5.7328 0.7584 0.6509 0.1074
19500 9700 44.3391 15.728 1.8492 0.267 0.5123 -0.2453
16900 13100 38.6605 14.5033 -999.9999 -999.9999 -999.9999 -999.9999
900 3700 31.8682 14.6784 -999.9999 -999.9999 -999.9999 -999.9999
500 11900 29.638 14.5282 -999.9999 -999.9999 -999.9999 -999.9999
9100 1300 37.768 14.8731 2.1447 0.3314 0.3215 0.0098
9100 13700 36.0904 17.1863 16.0718 1.2061 0.8376 0.3685
9900 12900 38.701 15.4723 -999.9999 -999.9999 -999.9999 -999.9999
6300 100 36.296 14.9066 1.9367 0.2871 0.329 -0.0419
3700 5100 38.9924 15.125 -999.9999 -999.9999 -999.9999 -999.9999
16300 900 40.9079 12.1743 0.5942 -0.2261 -0.2805 0.0544
18300 13500 39.3522 13.6414 -999.9999 -999.9999 -999.9999 -999.9999
9500 6900 33.9694 14.2402 0.8867 -0.0522 0.1803 -0.2326
17900 3100 41.0463 12.7197 0.5127 -0.2902 -0.1588 -0.1313
9900 15500 33.8508 17.0104 -999.9999 -999.9999 -999.9999 -999.9999
7100 8900 34.7327 13.4896 -999.9999 -999.9999 -999.9999 -999.9999
19300 7100 40.0438 15.5601 -999.9999 -999.9999 -999.9999 -999.9999
2300 5700 33.6568 16.4395 6.2181 0.7937 0.671 0.1227
7300 8900 34.8931 13.3574 -999.9999 -999.9999 -999.9999 -999.9999
13900 3700 41.2447 15.6548 -999.9999 -999.9999 -999.9999 -999.9999
8500 10100 36.1108 14.9056 -999.9999 -999.9999 -999.9999 -999.9999
8100 8700 35.3019 14.376 0.949 -0.0227 0.2106 -0.2334
14700 11900 39.3628 14.0186 -999.9999 -999.9999 -999.9999 -999.9999
6300 2300 36.3149 12.3999 -999.9999 -999.9999 -999.9999 -999.9999
11900 12900 39.4716 14.7101 -999.9999 -999.9999 -999.9999 -999.9999
18100 7100 39.9363 16.1841 -999.9999 -999.9999 -999.9999 -999.9999
11300 7100 38.4845 13.9489 -999.9999 -999.9999 -999.9999 -999.9999
12500 3100 40.5707 12.8842 -999.9999 -999.9999 -999.9999 -999.9999
2700 12700 28.9456 15.4206 -999.9999 -999.9999 -999.9999 -999.9999
2700 4300 35.1625 14.6637 -999.9999 -999.9999 -999.9999 -999.9999
8500 11300 34.9117 13.4249 1.0335 0.0143 -0.0015 0.0159
1500 900 29.6392 16.0098 2.6377 0.4212 0.5751 -0.1539
7300 1300 33.7008 13.5977 1.4193 0.1521 0.037 0.1151
10700 4100 36.4811 15.062 -999.9999 -999.9999 -999.9999 -999.9999
7100 1900 34.6401 13.27 0.7969 -0.0986 -0.0361 -0.0625
3900 8500 37.356 15.036 2.0396 0.3095 0.3579 -0.0483
17100 6100 40.1294 13.7029 -999.9999 -999.9999 -999.9999 -999.9999
14100 10100 38.6977 14.033 1.0686 0.0288 0.1341 -0.1053
11500 4900 40.723 16.0288 2.5648 0.4091 0.5793 -0.1703
13300 15700 37.2769 16.0574 2.4808 0.3946 0.5857 -0.1911
1900 12100 29.3555 15.4869 1.5528 0.1911 0.4585 -0.2673
15100 2900 37.6275 13.714 -999.9999 -999.9999 -999.9999 -999.9999
6500 900 35.173 14.3237 -999.9999 -999.9999 -999.9999 -999.9999
8900 6100 31.9948 13.337 -999.9999 -999.9999 -999.9999 -999.9999
4500 2300 36.0284 13.1674 0.8338 -0.079 -0.059 -0.02
12900 10300 38.3338 11.9921 0.5348 -0.2718 -0.3212 0.0494
10900 5700 37.8295 14.5867 -999.9999 -999.9999 -999.9999 -999.9999
3500 700 34.7916 14.8368 5.0723 0.7052 0.3134 0.3918
16300 3700 39.2246 13.9419 0.8931 -0.0491 0.1138 -0.1629
